Author1,Author2,Weight
"Adnan, Muhammad Abdullah","Siam, Rubaiyat Sha Fardin",1
"Ahmad, Shahnawaz","Alsubaie, Najah",1
"Ahmad, Shahnawaz","Mehfuz, Shabana",1
"Ahmad, Shahnawaz","Urooj, Shabana",1
"Alsubaie, Najah","Mehfuz, Shabana",1
"Alsubaie, Najah","Urooj, Shabana",1
"Arumugam, Ashwin Senthil","Hussain, Syed Rafiul",1
"Arumugam, Ashwin Senthil","K S, Sathiyajith",1
"Arumugam, Ashwin Senthil","Yang, Tianchang",1
"Atienza, K.C.V.","Bondoc, R.X.R.",1
"Atienza, K.C.V.","Lat, J.A.S.",1
"Atlidakis, Vaggelis","Godefroid, Patrice",1
"Atlidakis, Vaggelis","Polishchuk, Marina",1
"B., Cui, Baojiang","W., Tian, Weihan",1
"B., Cui, Baojiang","Z., Wang, Ziqi",1
"B., Northern, Bradley","D., Ulybyshev, Denis",1
"B., Northern, Bradley","I., Yilmaz, Ibrahim",1
"B., Northern, Bradley","M.D., Rogers, Mike D.",1
"B., Northern, Bradley","V., Kholodilo, Vadim",1
"B., Soewito, Benfano","R.R., Abdullah, Roni Reza",1
"B., Soewito, Benfano","S., Yulianto, Semi",1
"B., Wang, Bo","M., Chen, Mingda",1
"B., Wang, Bo","M., Deng, Ming",1
"B., Wang, Bo","Y., Lin, Youfang",1
"Badenes-Olmedo, C.","Corcho, O.",1
"Badenes-Olmedo, C.","Espinoza-Arias, P.",1
"Bangert, Julian","Kern, Christoph",1
"Bangert, Julian","Wang, Pei",1
"Bao, Minli","Deng, Gelei",1
"Bao, Minli","Ji, Dandan",1
"Bao, Minli","Li, Yuekang",1
"Bao, Minli","Liu, Yang",1
"Bao, Minli","Liu, Yi",1
"Bao, Minli","Wan, Ruiyuan",1
"Bao, Minli","Wu, Runchao",1
"Bao, Minli","Xu, Shiheng",1
"Barboza, Erick","Correia, João Lucas",1
"Barboza, Erick","Fernandes, Leo",1
"Barboza, Erick","Fonseca, Baldoino",1
"Barboza, Erick","Fraga, Ismael Trindade",1
"Barboza, Erick","Pinto, Renato Torres",1
"Barboza, Erick","Ribeiro, Márcio",1
"Barboza, Erick","Rocha, João Vitor Souza",1
"Barboza, Erick","Wiese, Igor",1
"Basney, J.","Dooley, R.",1
"Basney, J.","Stubbs, J.",1
"Baucas, M.J.","Spachos, P.",1
"Bhat, K. Vivekananda","Das, Ashok Kumar",1
"Bhat, K. Vivekananda","Rajarajan, Muttukrishnan",1
"Bhat, K. Vivekananda","Rodrigues, Joel J. P. C.",1
"Bhat, K. Vivekananda","Sivaselvan, N.",1
"Bogner, Justus","Kotstein, Sebastian",1
"Bogner, Justus","Pfaff, Timo",1
"Bondoc, R.X.R.","Lat, J.A.S.",1
"Bruno, L.","Pita, P.",1
"Brūzgienė, Rasa","Grigaliūnas, Šarūnas",1
"Brūzgienė, Rasa","Kukta, Donatas",1
"Brūzgienė, Rasa","Venčkauskas, Algimantas",1
"C., Castro-Cabrera, Carmen","I., Medina-Bulo, Inmaculada",1
"C., Daniele, Cristian","E., Weitenberg, Erieke",1
"C., Daniele, Cristian","R., Groenewegen, Ringo",1
"C., Daniele, Cristian","T., Rooijakkers, Thomas",1
"C., Fang, Chunrong","D., Yang, Ding",1
"C., Fang, Chunrong","R., Qian, Ruixiang",1
"C., Fang, Chunrong","Z., Wei, Zhao",1
"C., Fu, Chuan","H., Guo, Hao",1
"C., Fu, Chuan","J., Li, Jingwei",1
"C., Fu, Chuan","X., Chen, Xuan",1
"C., Fu, Chuan","X., He, Xiaoyu",1
"C., Fu, Chuan","Y., Huang, Yanyu",1
"C., Fu, Chuan","Z., Liu, Zheli",1
"C., Makaranond, Chansida","C., Ragkhitwetsagul, Chaiyong",1
"C., Makaranond, Chansida","M., Choetkiertikul, Morakot",1
"C., Makaranond, Chansida","P., Rattanukul, Pattarakrit",1
"C., Makaranond, Chansida","P., Watanakulcharus, Pumipat",1
"C., Makaranond, Chansida","T., Nearunchorn, Tanapol",1
"C., Makaranond, Chansida","T., Sunetnanta, Thanwadee",1
"C., Makaranond, Chansida","V., Visoottiviseth, Vasaka",1
"C., Mao, Chengying","R., Huang, Rubing",1
"C., Ragkhitwetsagul, Chaiyong","M., Choetkiertikul, Morakot",1
"C., Ragkhitwetsagul, Chaiyong","P., Rattanukul, Pattarakrit",1
"C., Ragkhitwetsagul, Chaiyong","P., Watanakulcharus, Pumipat",1
"C., Ragkhitwetsagul, Chaiyong","T., Nearunchorn, Tanapol",1
"C., Ragkhitwetsagul, Chaiyong","T., Sunetnanta, Thanwadee",1
"C., Ragkhitwetsagul, Chaiyong","V., Visoottiviseth, Vasaka",1
"C., Sendner, Christoph","K., Zimmermann, Keven",1
"C., Sendner, Christoph","V., Gadey, Varun",1
"C., Shen, Chongyang","M., Zhang, Man",1
"C., Sun, Chang'ai","D., Towey, Dave",1
"C., Sun, Chang'ai","H., Dai, Hepeng",1
"C., Sun, Chang'ai","H., Liu, Huai",1
"C., Sun, Chang'ai","L., Pan, Lin",1
"C., Sun, Chang'ai","Q., Wang, Qiaoling",1
"C., Sun, Chang'ai","X., Zhang, Xiangyu",1
"C., Thomas Oliveira, Caio","F.D.O., Silva, Flávio De Oliveira",1
"C., Thomas Oliveira, Caio","P., Frosi-Rosa, Pedro",1
"C., Thomas Oliveira, Caio","R., Moreira, Rodrigo",1
"C., Thomas Oliveira, Caio","R.S., Miani, Rodrigo S.",1
"C., Zhang, Chong","H., Liu, Huai",1
"C., Zhang, Chong","J.X., Zheng, James Xi",1
"C., Zhang, Chong","R., Li, Rui",1
"C., Zhang, Chong","X., Liu, Xiao",1
"C., Zhou, Chunru","H., Li, Hang",1
"C., Zhou, Chunru","J., Li, Junhao",1
"C., Zhou, Chunru","M., Yin, Mingyong",1
"C., Zhou, Chunru","Y., Wang, Yulong",1
"C.D., Nguyen, Cu Duy","D., Appelt, Dennis",1
"C.D., Nguyen, Cu Duy","L.C., Briand, Lionel C.",1
"C.D., Nguyen, Cu Duy","N., Alshahwan, Nadia",1
"Carmona, C.Á.","Morales, A.F.",1
"Carmona, C.Á.","Valencia, R.E.C.",1
"Carmona, C.Á.","Villegas, A.C.",1
"Carrera-Colorado, Eduardo","Limón, Xavier",1
"Carrera-Colorado, Eduardo","Ocharán-Hernández, Jorge Octavio",1
"Carrera-Colorado, Eduardo","Pérez-Arriaga, Juan Carlos",1
"Carrera-Colorado, Eduardo","Tamariz-Moreno, A. Michelle",1
"Chaplia, O.","Klym, H.",1
"Chaplia, O.","Konuhova, M.",1
"Chaplia, O.","Popov, A.I.",1
"Chatterjee, Ayan","Gerdes, Martin W.",1
"Chatterjee, Ayan","Khatiwada, Pankaj",1
"Chatterjee, Ayan","Prinz, Andreas",1
"Chen, Juxing","Chen, Yu",1
"Chen, Juxing","Chen, Yuanchao",1
"Chen, Juxing","Li, Yang",1
"Chen, Juxing","Li, Yuwei",1
"Chen, Juxing","Pan, Zulie",1
"Chen, Juxing","Shen, Yi",1
"Chen, Juxing","Zhang, Min",1
"Chen, Xingshu","Tang, Rui",1
"Chen, Xingshu","Dai, Jinqiao",1
"Chen, Xingshu","Jiang, Shuyu",1
"Chen, Xingshu","Shao, Jiang",1
"Chen, Yu","Chen, Yuanchao",1
"Chen, Yu","Li, Yang",1
"Chen, Yu","Li, Yuwei",1
"Chen, Yu","Pan, Zulie",1
"Chen, Yu","Shen, Yi",1
"Chen, Yu","Zhang, Min",1
"Chen, Yuanchao","Li, Yang",1
"Chen, Yuanchao","Li, Yuwei",1
"Chen, Yuanchao","Pan, Zulie",1
"Chen, Yuanchao","Shen, Yi",1
"Chen, Yuanchao","Zhang, Min",1
"Choi, Y.","Jeong, J.P.",1
"Choi, Y.","Kim, J.J.",1
"Choi, Y.","Lingga, P.",1
"Choi, Y.","Park, J.",1
"Corcho, O.","Espinoza-Arias, P.",1
"Correia, João Lucas","Fernandes, Leo",1
"Correia, João Lucas","Fonseca, Baldoino",1
"Correia, João Lucas","Fraga, Ismael Trindade",1
"Correia, João Lucas","Pinto, Renato Torres",1
"Correia, João Lucas","Ribeiro, Márcio",1
"Correia, João Lucas","Rocha, João Vitor Souza",1
"Correia, João Lucas","Wiese, Igor",1
"D., Appelt, Dennis","L.C., Briand, Lionel C.",1
"D., Appelt, Dennis","N., Alshahwan, Nadia",1
"D., Mitropoulos, Dimitris","D., Spinellis, Diomidis",1
"D., Mitropoulos, Dimitris","F., Rafailidis, Fotios",1
"D., Mitropoulos, Dimitris","K., Stroggylos, Konstantinos",1
"D., Mitropoulos, Dimitris","P., Katsaros, Panagiotis",1
"D., Mitropoulos, Dimitris","P., Papadopoulos, Panagiotis",1
"D., Mitropoulos, Dimitris","S., Ioannidis, Sotiris",1
"D., Mitropoulos, Dimitris","Z., Tzermias, Zacharias",1
"D., Ničković, Dejan","D., Yadav, Drishti",1
"D., Ničković, Dejan","E., Bartocci, Ezio",1
"D., Ničković, Dejan","L., Mariani, Leonardo",1
"D., Spinellis, Diomidis","F., Rafailidis, Fotios",1
"D., Spinellis, Diomidis","K., Stroggylos, Konstantinos",1
"D., Spinellis, Diomidis","P., Katsaros, Panagiotis",1
"D., Spinellis, Diomidis","P., Papadopoulos, Panagiotis",1
"D., Spinellis, Diomidis","S., Ioannidis, Sotiris",1
"D., Spinellis, Diomidis","Z., Tzermias, Zacharias",1
"D., Towey, Dave","R., Huang, Rubing",1
"D., Towey, Dave","Q., Li, Qing",1
"D., Towey, Dave","G., Wang, Guan",1
"D., Towey, Dave","H., Dai, Hepeng",1
"D., Towey, Dave","K., Cai, Kaiyuan",1
"D., Towey, Dave","T.Y., Chen, Tsong Yueh",1
"D., Ulybyshev, Denis","I., Yilmaz, Ibrahim",1
"D., Ulybyshev, Denis","M.D., Rogers, Mike D.",1
"D., Ulybyshev, Denis","V., Kholodilo, Vadim",1
"D., Yadav, Drishti","E., Bartocci, Ezio",1
"D., Yadav, Drishti","L., Mariani, Leonardo",1
"D., Yang, Ding","R., Qian, Ruixiang",1
"D., Yang, Ding","Z., Wei, Zhao",1
"D.M., Ellis, Donovan M.","D.S., Oliveira, Daniela Seabra",1
"D.M., Ellis, Donovan M.","E., Perez, Eliany",1
"D.M., Ellis, Donovan M.","J., Cappos, Justin",1
"D.M., Ellis, Donovan M.","L.A., DeLong, Lois Anne",1
"D.M., Ellis, Donovan M.","M.S., Rahman, Muhammad Sajidur",1
"D.M., Ellis, Donovan M.","R., Akefirad, Rad",1
"D.M., Ellis, Donovan M.","R., Bobhate, Rahul",1
"D.M., Ellis, Donovan M.","T., Lin, Tian",1
"D.M., Ellis, Donovan M.","Y., Brun, Yuriy",1
"D.N., Ilangarathna, D. N.","D.R.G.K.B., Dilshan, D. R.G.K.B.",1
"D.N., Ilangarathna, D. N.","U., Dharmakeerthi, Uditha",1
"D.P., Morales, Diego Pedro","E., Castillo, Encarnacion",1
"D.P., Morales, Diego Pedro","J., Cruz-Cozar, Juan",1
"D.P., Morales, Diego Pedro","L.M., Parrilla, L. M.",1
"D.R.G.K.B., Dilshan, D. R.G.K.B.","U., Dharmakeerthi, Uditha",1
"D.S., Oliveira, Daniela Seabra","E., Perez, Eliany",1
"D.S., Oliveira, Daniela Seabra","J., Cappos, Justin",1
"D.S., Oliveira, Daniela Seabra","L.A., DeLong, Lois Anne",1
"D.S., Oliveira, Daniela Seabra","M.S., Rahman, Muhammad Sajidur",1
"D.S., Oliveira, Daniela Seabra","R., Akefirad, Rad",1
"D.S., Oliveira, Daniela Seabra","R., Bobhate, Rahul",1
"D.S., Oliveira, Daniela Seabra","T., Lin, Tian",1
"D.S., Oliveira, Daniela Seabra","Y., Brun, Yuriy",1
"Dai, Jinqiao","Jiang, Shuyu",1
"Dai, Jinqiao","Shao, Jiang",1
"Dai, Jinqiao","Shen, Changxiang",1
"Dai, Jinqiao","Zheng, Tao",1
"Das, Ashok Kumar","Rajarajan, Muttukrishnan",1
"Das, Ashok Kumar","Rodrigues, Joel J. P. C.",1
"Das, Ashok Kumar","Sivaselvan, N.",1
"Delinschi, Daniela","Erdei, Rudolf",1
"Delinschi, Daniela","Matei, Oliviu",1
"Delinschi, Daniela","Pasca, Emil Marian",1
"Deng, Gelei","Ji, Dandan",1
"Deng, Gelei","Li, Yuekang",1
"Deng, Gelei","Liu, Yang",1
"Deng, Gelei","Liu, Yi",1
"Deng, Gelei","Wan, Ruiyuan",1
"Deng, Gelei","Wu, Runchao",1
"Deng, Gelei","Xu, Shiheng",1
"Di Meglio, S.D.","Starace, L.",1
"Dooley, R.","Stubbs, J.",1
"E., Bartocci, Ezio","L., Mariani, Leonardo",1
"E., Castillo, Encarnacion","J., Cruz-Cozar, Juan",1
"E., Castillo, Encarnacion","L.M., Parrilla, L. M.",1
"E., Huseynov, Emin","J.M., Seigneur, Jean Marc",1
"E., Nunohiro, Eiji","M., Hanada, Masaki",1
"E., Nunohiro, Eiji","M., Kim, Moowan",1
"E., Nunohiro, Eiji","T., Mimura, Takao",1
"E., Nunohiro, Eiji","T., Taya, Toru",1
"E., Nunohiro, Eiji","Y., Ishida, Yuki",1
"E., Nunohiro, Eiji","Y., Murakami, Yoichi",1
"E., Perez, Eliany","J., Cappos, Justin",1
"E., Perez, Eliany","L.A., DeLong, Lois Anne",1
"E., Perez, Eliany","M.S., Rahman, Muhammad Sajidur",1
"E., Perez, Eliany","R., Akefirad, Rad",1
"E., Perez, Eliany","R., Bobhate, Rahul",1
"E., Perez, Eliany","T., Lin, Tian",1
"E., Perez, Eliany","Y., Brun, Yuriy",1
"E., Rushdy, Ehab","R.S., Attia, Riham Salah",1
"E., Rushdy, Ehab","W.I., Khedr, Walid I.",1
"E., Weitenberg, Erieke","R., Groenewegen, Ringo",1
"E., Weitenberg, Erieke","T., Rooijakkers, Thomas",1
"Erdei, Rudolf","Matei, Oliviu",1
"Erdei, Rudolf","Pasca, Emil Marian",1
"F., Belli, Fevzi","T., Tuglular, Tugkan",1
"F., Naït-Abdesselam, Farid","Y., Tseng, Yuchia",1
"F., Naït-Abdesselam, Farid","Z., Zhang, Zonghua",1
"F., Rafailidis, Fotios","K., Stroggylos, Konstantinos",1
"F., Rafailidis, Fotios","P., Katsaros, Panagiotis",1
"F., Rafailidis, Fotios","P., Papadopoulos, Panagiotis",1
"F., Rafailidis, Fotios","S., Ioannidis, Sotiris",1
"F., Rafailidis, Fotios","Z., Tzermias, Zacharias",1
"F., Salzano, Francesco","R., Pareschi, Remo",1
"F., Sheldon, Frederick T.","J., Alves-Foss, Jim",1
"F., Sheldon, Frederick T.","R., Alshamrani, Rayan",1
"F.D.O., Silva, Flávio De Oliveira","P., Frosi-Rosa, Pedro",1
"F.D.O., Silva, Flávio De Oliveira","R., Moreira, Rodrigo",1
"F.D.O., Silva, Flávio De Oliveira","R.S., Miani, Rodrigo S.",1
"Falah, Bouchaib","Routaib, Hayat",1
"Fernandes, Leo","Fonseca, Baldoino",1
"Fernandes, Leo","Fraga, Ismael Trindade",1
"Fernandes, Leo","Pinto, Renato Torres",1
"Fernandes, Leo","Ribeiro, Márcio",1
"Fernandes, Leo","Rocha, João Vitor Souza",1
"Fernandes, Leo","Wiese, Igor",1
"Fernandez, P.","García, J.M.",1
"Fernandez, P.","Peluaga Lozada, I.",1
"Fernandez, Pablo","Gamez-Diaz, Antonio",1
"Fernandez, Pablo","Ruiz-Cortés, Antonio",1
"Fonseca, Baldoino","Fraga, Ismael Trindade",1
"Fonseca, Baldoino","Pinto, Renato Torres",1
"Fonseca, Baldoino","Ribeiro, Márcio",1
"Fonseca, Baldoino","Rocha, João Vitor Souza",1
"Fonseca, Baldoino","Wiese, Igor",1
"Fraga, Ismael Trindade","Pinto, Renato Torres",1
"Fraga, Ismael Trindade","Ribeiro, Márcio",1
"Fraga, Ismael Trindade","Rocha, João Vitor Souza",1
"Fraga, Ismael Trindade","Wiese, Igor",1
"G., Bhandari, Guru","S., Seran, Susruthan",1
"G., Gharachorlu, Golnaz","S., Alimadadi, Saba",1
"G., Wang, Guan","H., Dai, Hepeng",1
"Galeotti, Juan","M., Zhang, Man",1
