Author1,Author2,Weight
"L., Kogler, Leon","M., Ehrhart, Maximilian",1
"L., Kogler, Leon","S., Hangler, Stefan",1
"L., Pan, Lin","Q., Wang, Qiaoling",1
"L., Pan, Lin","X., Zhang, Xiangyu",1
"L.A., DeLong, Lois Anne","M.S., Rahman, Muhammad Sajidur",1
"L.A., DeLong, Lois Anne","R., Akefirad, Rad",1
"L.A., DeLong, Lois Anne","R., Bobhate, Rahul",1
"L.A., DeLong, Lois Anne","T., Lin, Tian",1
"L.A., DeLong, Lois Anne","Y., Brun, Yuriy",1
"L.C., Briand, Lionel C.","N., Alshahwan, Nadia",1
"Li, Penghui","Luo, Changhua",1
"Li, Penghui","Meng, Wei",1
"Li, Penghui","Zhang, Chao",1
"Li, Shuhuan","Liu, Runhao",1
"Li, Shuhuan","Ma, Shuoyoucheng",1
"Li, Shuhuan","Wang, Baosheng",1
"Li, Shuhuan","Wang, Enze",1
"Li, Shuhuan","Wang, Zhenhua",1
"Li, Shuhuan","Xie, Wei",1
"Li, Shuhuan","Yang, Wantong",1
"Li, Shuhuan","Zhou, Yuan",1
"Li, Yang","Li, Yuwei",1
"Li, Yang","Pan, Zulie",1
"Li, Yang","Shen, Yi",1
"Li, Yang","Zhang, Min",1
"Li, Yuekang","Liu, Yang",1
"Li, Yuekang","Liu, Yi",1
"Li, Yuekang","Wan, Ruiyuan",1
"Li, Yuekang","Wu, Runchao",1
"Li, Yuekang","Xu, Shiheng",1
"Li, Yuwei","Pan, Zulie",1
"Li, Yuwei","Shen, Yi",1
"Li, Yuwei","Zhang, Min",1
"Limón, Xavier","Ocharán-Hernández, Jorge Octavio",1
"Limón, Xavier","Pérez-Arriaga, Juan Carlos",1
"Limón, Xavier","Tamariz-Moreno, A. Michelle",1
"Lingga, P.","Park, J.",1
"Liu, Runhao","Ma, Shuoyoucheng",1
"Liu, Runhao","Wang, Baosheng",1
"Liu, Runhao","Wang, Enze",1
"Liu, Runhao","Wang, Zhenhua",1
"Liu, Runhao","Xie, Wei",1
"Liu, Runhao","Yang, Wantong",1
"Liu, Runhao","Zhou, Yuan",1
"Liu, Xin","Xiao, Zhenghang",1
"Liu, Xin","Zhuge, Jianwei",1
"Liu, Yang","Liu, Yi",1
"Liu, Yang","Wan, Ruiyuan",1
"Liu, Yang","Wu, Runchao",1
"Liu, Yang","Xu, Shiheng",1
"Liu, Yi","Wan, Ruiyuan",1
"Liu, Yi","Wu, Runchao",1
"Liu, Yi","Xu, Shiheng",1
"Luo, Changhua","Meng, Wei",1
"Luo, Changhua","Zhang, Chao",1
"M., Abomaali, Mohammed","S., Karuppayah, Shankar",1
"M., Abomaali, Mohammed","S., Manickam, Selvakumar",1
"M., Bayesh, Masrufa","M., Jones, Mike",1
"M., Bayesh, Masrufa","S., Jahan, Sharmin",1
"M., Chen, Mingda","M., Deng, Ming",1
"M., Chen, Mingda","Y., Lin, Youfang",1
"M., Choetkiertikul, Morakot","P., Rattanukul, Pattarakrit",1
"M., Choetkiertikul, Morakot","P., Watanakulcharus, Pumipat",1
"M., Choetkiertikul, Morakot","T., Nearunchorn, Tanapol",1
"M., Choetkiertikul, Morakot","T., Sunetnanta, Thanwadee",1
"M., Choetkiertikul, Morakot","V., Visoottiviseth, Vasaka",1
"M., Deng, Ming","Y., Lin, Youfang",1
"M., Ehrhart, Maximilian","S., Hangler, Stefan",1
"M., Hanada, Masaki","M., Kim, Moowan",1
"M., Hanada, Masaki","T., Mimura, Takao",1
"M., Hanada, Masaki","T., Taya, Toru",1
"M., Hanada, Masaki","Y., Ishida, Yuki",1
"M., Hanada, Masaki","Y., Murakami, Yoichi",1
"M., Jones, Mike","S., Jahan, Sharmin",1
"M., Kim, Moowan","T., Mimura, Takao",1
"M., Kim, Moowan","T., Taya, Toru",1
"M., Kim, Moowan","Y., Ishida, Yuki",1
"M., Kim, Moowan","Y., Murakami, Yoichi",1
"M., MacAs, Mayra","P., Arévalo, Paco",1
"M., MacAs, Mayra","W., Fuertes, Walter",1
"M., Polo, Macario","P., Reales Mateo, Pedro",1
"M., Polo, Macario","P.R., Mateo, Pedro Reales",1
"M., Yin, Mingyong","Y., Wang, Yulong",1
"M., Zhang, Man","Ö., Şahin, Ömür",1
"M.A., Mohd Ariffin, Muhammad Azizi","M.F., Ibrahim, Mohd Faisal",1
"M.A., Mohd Ariffin, Muhammad Azizi","Z., Kasiran, Zolidah",1
"M.D., Rogers, Mike D.","V., Kholodilo, Vadim",1
"M.D., Tomić, Mihailo D.","O.M., Radojević, Olivera M.",1
"M.F., Ibrahim, Mohd Faisal","Z., Kasiran, Zolidah",1
"M.S., Rahman, Muhammad Sajidur","R., Akefirad, Rad",1
"M.S., Rahman, Muhammad Sajidur","R., Bobhate, Rahul",1
"M.S., Rahman, Muhammad Sajidur","T., Lin, Tian",1
"M.S., Rahman, Muhammad Sajidur","Y., Brun, Yuriy",1
"Ma, Shuoyoucheng","Wang, Baosheng",1
"Ma, Shuoyoucheng","Wang, Enze",1
"Ma, Shuoyoucheng","Wang, Zhenhua",1
"Ma, Shuoyoucheng","Xie, Wei",1
"Ma, Shuoyoucheng","Yang, Wantong",1
"Ma, Shuoyoucheng","Zhou, Yuan",1
"Matei, Oliviu","Pasca, Emil Marian",1
"Mehfuz, Shabana","Urooj, Shabana",1
"Meng, Wei","Zhang, Chao",1
"Morales, A.F.","Valencia, R.E.C.",1
"Morales, A.F.","Villegas, A.C.",1
"N., Huang, Ning","R., Wang, Rui",1
"N., Laranjeiro, Nuno","Oliveira, Rui André",1
"N., Laranjeiro, Nuno","Raga, Miquel Martínez",1
"N., Laranjeiro, Nuno","Vieira, Marco",1
"N., Thennakoon, Nipun","S., Hettiarachchi, Saman",1
"N., Thennakoon, Nipun","S., Malalgoda, Sanjeewa",1
"N., Thennakoon, Nipun","T., Madusanka, Tiroshan",1
"N., Thennakoon, Nipun","T.D., Jayawickrama, Thamindu D.",1
"N.D., Wirasbawa, Nicholas Dwiarto","Y., Khaeruzzaman, Yaman",1
"Nie, Changhai","Niu, Xintao",1
"Nie, Changhai","Pan, Zhenyu",1
"Nie, Changhai","Wang, Shaohua",1
"Nie, Changhai","Wu, Huayao",1
"Nie, Changhai","Xu, Lixin",1
"Nie, Changhai","Xu, Tongtong",1
"Niu, Xintao","Pan, Zhenyu",1
"Niu, Xintao","Wang, Shaohua",1
"Niu, Xintao","Wu, Huayao",1
"Niu, Xintao","Xu, Lixin",1
"Niu, Xintao","Xu, Tongtong",1
"O., Çetin, Orçun","R., Ylldlrlm, Recep",1
"Ocharán-Hernández, Jorge Octavio","Pérez-Arriaga, Juan Carlos",1
"Ocharán-Hernández, Jorge Octavio","Tamariz-Moreno, A. Michelle",1
"Oliveira, Rui André","Raga, Miquel Martínez",1
"Oliveira, Rui André","Vieira, Marco",1
"P., Arévalo, Paco","W., Fuertes, Walter",1
"P., Frosi-Rosa, Pedro","R., Moreira, Rodrigo",1
"P., Frosi-Rosa, Pedro","R.S., Miani, Rodrigo S.",1
"P., Katsaros, Panagiotis","P., Papadopoulos, Panagiotis",1
"P., Katsaros, Panagiotis","S., Ioannidis, Sotiris",1
"P., Katsaros, Panagiotis","Z., Tzermias, Zacharias",1
"P., Papadopoulos, Panagiotis","S., Ioannidis, Sotiris",1
"P., Papadopoulos, Panagiotis","Z., Tzermias, Zacharias",1
"P., Rattanukul, Pattarakrit","P., Watanakulcharus, Pumipat",1
"P., Rattanukul, Pattarakrit","T., Nearunchorn, Tanapol",1
"P., Rattanukul, Pattarakrit","T., Sunetnanta, Thanwadee",1
"P., Rattanukul, Pattarakrit","V., Visoottiviseth, Vasaka",1
"P., Watanakulcharus, Pumipat","T., Nearunchorn, Tanapol",1
"P., Watanakulcharus, Pumipat","T., Sunetnanta, Thanwadee",1
"P., Watanakulcharus, Pumipat","V., Visoottiviseth, Vasaka",1
"P.S., Karagoz, P. Senkul","S., Utku, Selma",1
"Pan, Zhenyu","Wang, Shaohua",1
"Pan, Zhenyu","Wu, Huayao",1
"Pan, Zhenyu","Xu, Lixin",1
"Pan, Zhenyu","Xu, Tongtong",1
"Pan, Zulie","Shen, Yi",1
"Pan, Zulie","Zhang, Min",1
"Pinto, Renato Torres","Ribeiro, Márcio",1
"Pinto, Renato Torres","Rocha, João Vitor Souza",1
"Pinto, Renato Torres","Wiese, Igor",1
"Pérez-Arriaga, Juan Carlos","Tamariz-Moreno, A. Michelle",1
"Q., Wang, Qiaoling","X., Zhang, Xiangyu",1
"R., Akefirad, Rad","R., Bobhate, Rahul",1
"R., Akefirad, Rad","T., Lin, Tian",1
"R., Akefirad, Rad","Y., Brun, Yuriy",1
"R., Bobhate, Rahul","T., Lin, Tian",1
"R., Bobhate, Rahul","Y., Brun, Yuriy",1
"R., Dubin, Ran","Y., Levi, Yarin",1
"R., Groenewegen, Ringo","T., Rooijakkers, Thomas",1
"R., Huang, Rubing","Y., Zhan, Yongzhao",1
"R., Li, Rui","X., Liu, Xiao",1
"R., Moreira, Rodrigo","R.S., Miani, Rodrigo S.",1
"R., Patan, Rizwan","R.M., Parizi, Reza Meimandi",1
"R., Qian, Ruixiang","Z., Wei, Zhao",1
"R.A.P., Queirós, Ricardo Alexandre Peixoto","T., Espinha Gasiba, Tiago",1
"R.R., Abdullah, Roni Reza","S., Yulianto, Semi",1
"R.S., Attia, Riham Salah","W.I., Khedr, Walid I.",1
"Raga, Miquel Martínez","Vieira, Marco",1
"Rajarajan, Muttukrishnan","Rodrigues, Joel J. P. C.",1
"Rajarajan, Muttukrishnan","Sivaselvan, N.",1
"Ribeiro, Márcio","Rocha, João Vitor Souza",1
"Ribeiro, Márcio","Wiese, Igor",1
"Rocha, João Vitor Souza","Wiese, Igor",1
"Rodrigues, Joel J. P. C.","Sivaselvan, N.",1
"S., Hettiarachchi, Saman","S., Malalgoda, Sanjeewa",1
"S., Hettiarachchi, Saman","T., Madusanka, Tiroshan",1
"S., Hettiarachchi, Saman","T.D., Jayawickrama, Thamindu D.",1
"S., Ioannidis, Sotiris","Z., Tzermias, Zacharias",1
"S., Karuppayah, Shankar","S., Manickam, Selvakumar",1
"S., Malalgoda, Sanjeewa","T., Madusanka, Tiroshan",1
"S., Malalgoda, Sanjeewa","T.D., Jayawickrama, Thamindu D.",1
"S., Shang, Sunpei","Y., Guo, Yumeng",1
"S., Shang, Sunpei","Z., He, Zhuofeng",1
"Shao, Jiang","Shen, Changxiang",1
"Shao, Jiang","Zheng, Tao",1
"Shen, Changxiang","Tang, Rui",1
"Shen, Yi","Zhang, Min",1
"T., Lin, Tian","Y., Brun, Yuriy",1
"T., Madusanka, Tiroshan","T.D., Jayawickrama, Thamindu D.",1
"T., Mimura, Takao","T., Taya, Toru",1
"T., Mimura, Takao","Y., Ishida, Yuki",1
"T., Mimura, Takao","Y., Murakami, Yoichi",1
"T., Nearunchorn, Tanapol","T., Sunetnanta, Thanwadee",1
"T., Nearunchorn, Tanapol","V., Visoottiviseth, Vasaka",1
"T., Sunetnanta, Thanwadee","V., Visoottiviseth, Vasaka",1
"T., Taya, Toru","Y., Ishida, Yuki",1
"T., Taya, Toru","Y., Murakami, Yoichi",1
"Tang, Rui","Zheng, Tao",1
"Valencia, R.E.C.","Villegas, A.C.",1
"W., Tian, Weihan","Z., Wang, Ziqi",1
"Wan, Ruiyuan","Wu, Runchao",1
"Wan, Ruiyuan","Xu, Shiheng",1
"Wang, Baosheng","Wang, Enze",1
"Wang, Baosheng","Wang, Zhenhua",1
"Wang, Baosheng","Xie, Wei",1
"Wang, Baosheng","Yang, Wantong",1
"Wang, Baosheng","Zhou, Yuan",1
"Wang, Enze","Wang, Zhenhua",1
"Wang, Enze","Xie, Wei",1
"Wang, Enze","Yang, Wantong",1
"Wang, Enze","Zhou, Yuan",1
"Wang, Shaohua","Wu, Huayao",1
"Wang, Shaohua","Xu, Lixin",1
"Wang, Shaohua","Xu, Tongtong",1
"Wang, Yu","Xu, Yue",1
"Wang, Zhenhua","Xie, Wei",1
"Wang, Zhenhua","Yang, Wantong",1
"Wang, Zhenhua","Zhou, Yuan",1
"Wu, Huayao","Xu, Lixin",1
"Wu, Huayao","Xu, Tongtong",1
"Wu, Runchao","Xu, Shiheng",1
"X., Chen, Xuan","X., He, Xiaoyu",1
"X., Chen, Xuan","Y., Huang, Yanyu",1
"X., Chen, Xuan","Z., Liu, Zheli",1
"X., He, Xiaoyu","Y., Huang, Yanyu",1
"X., He, Xiaoyu","Z., Liu, Zheli",1
"Xiao, Zhenghang","Zhuge, Jianwei",1
"Xie, Wei","Yang, Wantong",1
"Xie, Wei","Zhou, Yuan",1
"Xu, Lixin","Xu, Tongtong",1
"Y., Guo, Yumeng","Z., He, Zhuofeng",1
"Y., Huang, Yanyu","Z., Liu, Zheli",1
"Y., Ishida, Yuki","Y., Murakami, Yoichi",1
"Y., Tseng, Yuchia","Z., Zhang, Zonghua",1
"Yang, Wantong","Zhou, Yuan",1
